frame,timestamp_ms,landmark_id,x_norm,y_norm,z_norm,visibility,x_px,y_px
0,0,0,nan,nan,nan,0.0,-1,-1
1,33,0,nan,nan,nan,0.0,-1,-1
2,66,0,nan,nan,nan,0.0,-1,-1
3,100,0,nan,nan,nan,0.0,-1,-1
4,133,0,nan,nan,nan,0.0,-1,-1
5,166,0,nan,nan,nan,0.0,-1,-1
6,200,0,nan,nan,nan,0.0,-1,-1
7,233,0,nan,nan,nan,0.0,-1,-1
8,266,0,nan,nan,nan,0.0,-1,-1
9,300,0,nan,nan,nan,0.0,-1,-1
10,333,0,nan,nan,nan,0.0,-1,-1
11,366,0,nan,nan,nan,0.0,-1,-1
12,400,0,nan,nan,nan,0.0,-1,-1
13,433,0,nan,nan,nan,0.0,-1,-1
14,466,0,nan,nan,nan,0.0,-1,-1
15,500,0,nan,nan,nan,0.0,-1,-1
16,533,0,0.08980721980333328,0.7930220365524292,-0.061277881264686584,0.655605673789978,86,428
16,533,1,0.09582033008337021,0.7999780774116516,-0.057254381477832794,0.5605347156524658,91,431
16,533,2,0.0956738069653511,0.801491916179657,-0.05745909363031387,0.5369976162910461,91,432
16,533,3,0.0951506569981575,0.8029071688652039,-0.05746851861476898,0.6356117129325867,91,433
16,533,4,0.09781711548566818,0.7937313318252563,-0.062494609504938126,0.6815968751907349,93,428
16,533,5,0.09872051328420639,0.791236400604248,-0.06278491765260696,0.7257245779037476,94,427
16,533,6,0.09979816526174545,0.788732647895813,-0.06297799944877625,0.780235767364502,95,425
16,533,7,0.09814194589853287,0.7962315082550049,-0.02194107696413994,0.7683995366096497,94,429
16,533,8,0.10499157756567001,0.7768526077270508,-0.0460999570786953,0.7477813959121704,100,419
16,533,9,0.08733206242322922,0.7872207760810852,-0.042675502598285675,0.4936900734901428,83,425
16,533,10,0.08986342698335648,0.7803487181663513,-0.051633287221193314,0.48930445313453674,86,421
16,533,11,0.08725542575120926,0.7675991058349609,-0.013956312090158463,0.9887145161628723,83,414
16,533,12,0.08947699517011642,0.7382820844650269,-0.01940596103668213,0.9636223316192627,85,398
16,533,13,0.05791211873292923,0.8122856020927429,-0.047347187995910645,0.013331744819879532,55,438
16,533,14,0.07078319042921066,0.7414539456367493,-0.06520203500986099,0.023717261850833893,67,400
16,533,15,0.06576947122812271,0.8160655498504639,-0.08522648364305496,0.017392467707395554,63,440
16,533,16,0.08276500552892685,0.7911607027053833,-0.10023552924394608,0.05617118999361992,79,427
16,533,17,0.07229361683130264,0.8174706697463989,-0.09379523247480392,0.041279442608356476,69,441
16,533,18,0.08805926889181137,0.803875744342804,-0.11740868538618088,0.11089256405830383,84,434
