frame,timestamp_ms,landmark_id,x_norm,y_norm,z_norm,visibility,x_px,y_px
0,0,0,nan,nan,nan,0.0,-1,-1
1,33,0,nan,nan,nan,0.0,-1,-1
2,66,0,nan,nan,nan,0.0,-1,-1
3,100,0,nan,nan,nan,0.0,-1,-1
4,133,0,nan,nan,nan,0.0,-1,-1
5,166,0,nan,nan,nan,0.0,-1,-1
6,200,0,nan,nan,nan,0.0,-1,-1
7,233,0,nan,nan,nan,0.0,-1,-1
8,266,0,0.05284474045038223,0.31293389201164246,-0.08666376769542694,0.9815744757652283,50,168
8,266,1,0.05422593653202057,0.3046873211860657,-0.08983585983514786,0.9684633612632751,52,164
8,266,2,0.053949952125549316,0.3047562539577484,-0.09003333002328873,0.9723552465438843,51,164
8,266,3,0.05362910032272339,0.30464789271354675,-0.09003012627363205,0.9814832806587219,51,164
8,266,4,0.05530058592557907,0.30513995885849,-0.09503933042287827,0.969663679599762,53,164
8,266,5,0.055029019713401794,0.30704161524772644,-0.09525086730718613,0.9734464883804321,52,165
8,266,6,0.05546567589044571,0.3074173331260681,-0.09539832919836044,0.9790081977844238,53,166
8,266,7,0.050740379840135574,0.31100723147392273,-0.08219978213310242,0.9909137487411499,48,167
8,266,8,0.055508121848106384,0.31475287675857544,-0.10425247997045517,0.9623720049858093,53,169
8,266,9,0.05209113284945488,0.3226242959499359,-0.07893390208482742,0.9792715907096863,50,174
8,266,10,0.05120963230729103,0.3254585564136505,-0.08667793869972229,0.972521960735321,49,175
8,266,11,0.05773793160915375,0.38020646572113037,-0.019944731146097183,0.9987737536430359,55,205
8,266,12,0.050350796431303024,0.38829731941223145,-0.12347420305013657,0.9922860860824585,48,209
8,266,13,0.0813056081533432,0.45123904943466187,0.025267239660024643,0.5900129675865173,78,243
8,266,14,0.054991357028484344,0.47528907656669617,-0.14108318090438843,0.32388636469841003,52,256
8,266,15,0.12522797286510468,0.48138388991355896,0.011087574996054173,0.5501846075057983,120,259
8,266,16,0.10570867359638214,0.48213648796081543,-0.14353850483894348,0.16750560700893402,101,260
8,266,17,0.13623349368572235,0.49205419421195984,0.010998639278113842,0.5369070172309875,130,265
8,266,18,0.10839065164327621,0.5142452120780945,-0.16826196014881134,0.17160142958164215,104,277
8,266,19,0.14115165174007416,0.48821014165878296,-0.010708244517445564,0.5588971376419067,135,263
8,266,20,0.11265439540147781,0.5028287768363953,-0.1607903391122818,0.17409038543701172,108,271
8,266,21,0.1357915848493576,0.4837336838245392,0.0024369978345930576,0.5456452965736389,130,261
8,266,22,0.11913970112800598,0.4821223020553589,-0.1428431123495102,0.1377142369747162,114,260
