frame,timestamp_ms,landmark_id,x_norm,y_norm,z_norm,visibility,x_px,y_px
0,0,0,nan,nan,nan,0.0,-1,-1
1,33,0,nan,nan,nan,0.0,-1,-1
2,66,0,nan,nan,nan,0.0,-1,-1
3,100,0,nan,nan,nan,0.0,-1,-1
4,133,0,nan,nan,nan,0.0,-1,-1
5,166,0,nan,nan,nan,0.0,-1,-1
6,200,0,nan,nan,nan,0.0,-1,-1
7,233,0,nan,nan,nan,0.0,-1,-1
8,266,0,nan,nan,nan,0.0,-1,-1
9,300,0,nan,nan,nan,0.0,-1,-1
10,333,0,nan,nan,nan,0.0,-1,-1
11,366,0,nan,nan,nan,0.0,-1,-1
12,400,0,nan,nan,nan,0.0,-1,-1
13,433,0,nan,nan,nan,0.0,-1,-1
14,466,0,nan,nan,nan,0.0,-1,-1
15,500,0,nan,nan,nan,0.0,-1,-1
16,533,0,nan,nan,nan,0.0,-1,-1
17,566,0,nan,nan,nan,0.0,-1,-1
18,600,0,nan,nan,nan,0.0,-1,-1
19,633,0,nan,nan,nan,0.0,-1,-1
20,666,0,0.0503564216196537,0.301152765750885,0.15713055431842804,0.9905487895011902,48,162
20,666,1,0.05118225887417793,0.290863573551178,0.14796048402786255,0.9912109375,49,157
20,666,2,0.04904554784297943,0.28909915685653687,0.14782463014125824,0.9917260408401489,47,156
20,666,3,0.047305505722761154,0.2878247797489166,0.14782807230949402,0.9946268200874329,45,155
20,666,4,0.05567203834652901,0.29488590359687805,0.1495508849620819,0.9903438091278076,53,159
20,666,5,0.057861968874931335,0.29750749468803406,0.1494167000055313,0.991689920425415,55,160
20,666,6,0.05973684787750244,0.299346387386322,0.14939282834529877,0.9930198788642883,57,161
20,666,7,0.04305247217416763,0.2947084605693817,0.10196398943662643,0.9986729621887207,41,159
20,666,8,0.061671264469623566,0.30932459235191345,0.11055395752191544,0.9920833110809326,59,167
20,666,9,0.04702894017100334,0.30953678488731384,0.1427948921918869,0.9958077669143677,45,167
20,666,10,0.0517752505838871,0.3145420253276825,0.14403825998306274,0.9930578470230103,49,169
20,666,11,0.03576948493719101,0.36217260360717773,0.09196863323450089,0.9999279975891113,34,195
20,666,12,0.07233280688524246,0.376871794462204,0.04507875815033913,0.999742329120636,69,203
20,666,13,0.05027277022600174,0.4668705463409424,0.06007489934563637,0.2687171697616577,48,252
20,666,14,0.07431503385305405,0.4867229461669922,0.001948068500496447,0.08701737225055695,71,262
20,666,15,0.06688175350427628,0.5556881427764893,0.025680111721158028,0.48685765266418457,64,300
20,666,16,0.07713508605957031,0.5476012825965881,0.004316342994570732,0.2319309413433075,74,295
