frame,timestamp_ms,landmark_id,x_norm,y_norm,z_norm,visibility,x_px,y_px
0,0,0,nan,nan,nan,0.0,-1,-1
1,33,0,nan,nan,nan,0.0,-1,-1
2,66,0,nan,nan,nan,0.0,-1,-1
3,100,0,nan,nan,nan,0.0,-1,-1
4,133,0,nan,nan,nan,0.0,-1,-1
5,166,0,nan,nan,nan,0.0,-1,-1
6,200,0,nan,nan,nan,0.0,-1,-1
7,233,0,nan,nan,nan,0.0,-1,-1
8,266,0,nan,nan,nan,0.0,-1,-1
9,300,0,nan,nan,nan,0.0,-1,-1
10,333,0,nan,nan,nan,0.0,-1,-1
11,366,0,nan,nan,nan,0.0,-1,-1
12,400,0,nan,nan,nan,0.0,-1,-1
13,433,0,nan,nan,nan,0.0,-1,-1
14,466,0,nan,nan,nan,0.0,-1,-1
15,500,0,nan,nan,nan,0.0,-1,-1
16,533,0,nan,nan,nan,0.0,-1,-1
17,566,0,nan,nan,nan,0.0,-1,-1
18,600,0,nan,nan,nan,0.0,-1,-1
19,633,0,nan,nan,nan,0.0,-1,-1
20,666,0,nan,nan,nan,0.0,-1,-1
21,700,0,nan,nan,nan,0.0,-1,-1
22,733,0,0.9261613488197327,0.30366194248199463,-0.20228376984596252,0.9945946335792542,889,163
22,733,1,0.9261580109596252,0.2923974394798279,-0.20215317606925964,0.9934713840484619,889,157
22,733,2,0.9258449077606201,0.2928311228752136,-0.20242080092430115,0.9945942759513855,888,158
22,733,3,0.9257888197898865,0.29407429695129395,-0.20238620042800903,0.9956795573234558,888,158
22,733,4,0.9262941479682922,0.2903784215450287,-0.19900062680244446,0.9949937462806702,889,156
22,733,5,0.9260697960853577,0.2895869314670563,-0.199300155043602,0.9963669776916504,889,156
22,733,6,0.9257859587669373,0.28876814246177673,-0.19949625432491302,0.9966080188751221,888,155
22,733,7,0.9260414242744446,0.2991527318954468,-0.171176478266716,0.9972901344299316,888,161
22,733,8,0.92442387342453,0.29400965571403503,-0.1587364673614502,0.9945526719093323,887,158
22,733,9,0.9251695871353149,0.3169201612472534,-0.18654827773571014,0.9957921504974365,888,171
22,733,10,0.9247660040855408,0.3148384392261505,-0.18442821502685547,0.9946954846382141,887,170
22,733,11,0.9501510262489319,0.37213587760925293,-0.15768404304981232,0.9994503855705261,912,200
22,733,12,0.9153058528900146,0.36656588315963745,-0.07042679190635681,0.9978621602058411,878,197
22,733,13,0.9820201396942139,0.46086999773979187,-0.10209541767835617,0.6425981521606445,942,248
22,733,14,0.8958042860031128,0.44087275862693787,-0.01425997819751501,0.3691957890987396,859,238
