frame,timestamp_ms,landmark_id,x_norm,y_norm,z_norm,visibility,x_px,y_px
0,0,0,nan,nan,nan,0.0,-1,-1
1,33,0,nan,nan,nan,0.0,-1,-1
2,66,0,nan,nan,nan,0.0,-1,-1
3,100,0,nan,nan,nan,0.0,-1,-1
4,133,0,nan,nan,nan,0.0,-1,-1
5,166,0,nan,nan,nan,0.0,-1,-1
6,200,0,nan,nan,nan,0.0,-1,-1
7,233,0,nan,nan,nan,0.0,-1,-1
8,266,0,nan,nan,nan,0.0,-1,-1
9,300,0,nan,nan,nan,0.0,-1,-1
10,333,0,nan,nan,nan,0.0,-1,-1
11,366,0,nan,nan,nan,0.0,-1,-1
12,400,0,nan,nan,nan,0.0,-1,-1
13,433,0,nan,nan,nan,0.0,-1,-1
14,466,0,nan,nan,nan,0.0,-1,-1
15,500,0,nan,nan,nan,0.0,-1,-1
16,533,0,nan,nan,nan,0.0,-1,-1
17,566,0,nan,nan,nan,0.0,-1,-1
18,600,0,nan,nan,nan,0.0,-1,-1
19,633,0,nan,nan,nan,0.0,-1,-1
20,666,0,nan,nan,nan,0.0,-1,-1
21,700,0,nan,nan,nan,0.0,-1,-1
22,733,0,0.07633575797080994,0.26989492774009705,-0.06170022115111351,0.9918975830078125,73,145
22,733,1,0.07400267571210861,0.2622844874858856,-0.056783564388751984,0.9904744029045105,71,141
22,733,2,0.07308295369148254,0.2627250552177429,-0.05701974406838417,0.990326464176178,70,141
22,733,3,0.07212621718645096,0.26301416754722595,-0.05695066228508949,0.9927884936332703,69,142
22,733,4,0.07483029365539551,0.261087566614151,-0.07410822808742523,0.9921239018440247,71,140
22,733,5,0.07450947910547256,0.260936439037323,-0.07436566799879074,0.9938486218452454,71,140
22,733,6,0.07422859221696854,0.26061010360717773,-0.07451522350311279,0.9947196245193481,71,140
22,733,7,0.06362657994031906,0.2699156105518341,-0.022635675966739655,0.9953448176383972,61,145
22,733,8,0.06894612312316895,0.2684846818447113,-0.10096482187509537,0.9890596866607666,66,144
22,733,9,0.07292024791240692,0.28283271193504333,-0.04442569240927696,0.9862761497497559,70,152
22,733,10,0.07394202053546906,0.28249624371528625,-0.06858587265014648,0.9872948527336121,70,152
22,733,11,0.05962568521499634,0.33809760212898254,0.04639524221420288,0.9993990659713745,57,182
22,733,12,0.06958247721195221,0.33631736040115356,-0.13456325232982635,0.9993734955787659,66,181
22,733,13,0.05538389831781387,0.44032517075538635,0.06419355422258377,0.03769730031490326,53,237
22,733,14,0.05882521718740463,0.4387050271034241,-0.17819803953170776,0.8789348602294922,56,236
