frame,timestamp_ms,landmark_id,x_norm,y_norm,z_norm,visibility,x_px,y_px
0,0,0,nan,nan,nan,0.0,-1,-1
1,33,0,nan,nan,nan,0.0,-1,-1
2,66,0,nan,nan,nan,0.0,-1,-1
3,100,0,nan,nan,nan,0.0,-1,-1
4,133,0,nan,nan,nan,0.0,-1,-1
5,166,0,nan,nan,nan,0.0,-1,-1
6,200,0,nan,nan,nan,0.0,-1,-1
7,233,0,nan,nan,nan,0.0,-1,-1
8,266,0,nan,nan,nan,0.0,-1,-1
9,300,0,nan,nan,nan,0.0,-1,-1
10,333,0,nan,nan,nan,0.0,-1,-1
11,366,0,nan,nan,nan,0.0,-1,-1
12,400,0,nan,nan,nan,0.0,-1,-1
13,433,0,nan,nan,nan,0.0,-1,-1
14,466,0,nan,nan,nan,0.0,-1,-1
15,500,0,nan,nan,nan,0.0,-1,-1
16,533,0,nan,nan,nan,0.0,-1,-1
17,566,0,nan,nan,nan,0.0,-1,-1
18,600,0,nan,nan,nan,0.0,-1,-1
19,633,0,nan,nan,nan,0.0,-1,-1
20,666,0,nan,nan,nan,0.0,-1,-1
21,700,0,nan,nan,nan,0.0,-1,-1
22,733,0,0.0644804984331131,0.4948347210884094,0.20182093977928162,0.6626502871513367,61,267
22,733,1,0.06650276482105255,0.4988304376602173,0.21248537302017212,0.5013735890388489,63,269
22,733,2,0.06629224121570587,0.5001105070114136,0.21229736506938934,0.6429442167282104,63,270
22,733,3,0.06579626351594925,0.5014174580574036,0.21234284341335297,0.5877596735954285,63,270
22,733,4,0.06751884520053864,0.49357056617736816,0.21008048951625824,0.5956304669380188,64,266
22,733,5,0.06783914566040039,0.4914918541908264,0.20987987518310547,0.7380211353302002,65,265
22,733,6,0.0683479979634285,0.48932528495788574,0.20979101955890656,0.727765679359436,65,264
22,733,7,0.06434287875890732,0.49914854764938354,0.23927552998065948,0.898977518081665,61,269
22,733,8,0.06862752139568329,0.47948700189590454,0.22766481339931488,0.8157243132591248,65,258
22,733,9,0.061788491904735565,0.492941677570343,0.21107792854309082,0.8311179280281067,59,266
22,733,10,0.06271614134311676,0.48753899335861206,0.20599085092544556,0.8346405029296875,60,263
22,733,11,0.050816603004932404,0.5064258575439453,0.2021491825580597,0.9996941089630127,48,273
22,733,12,0.06297732889652252,0.44060686230659485,0.19732028245925903,0.9990702271461487,60,237
22,733,13,0.023136479780077934,0.5378299951553345,0.19323782622814178,0.02398242987692356,22,290
22,733,14,0.0719136893749237,0.4478253424167633,0.21036644279956818,0.0010308105265721679,69,241
22,733,15,0.0499509796500206,0.5345348119735718,0.20338553190231323,0.003359569003805518,47,288
